id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,4,5,6,7,8,9,10,11,12,14,13,16,17,15,18,19,1,20,0,0,0,0,0,0,0,0,0,0
2,3,1,2,4,5,6,7,8,9,11,12,10,14,15,13,19,0,20,16,17,18,0,0,0,0,0,0,0,0,0
3,3,2,1,6,5,7,9,11,14,8,15,17,18,0,0,20,19,13,4,10,12,0,0,0,16,0,0,0,0,0
4,1,5,6,7,8,2,10,4,9,0,3,11,12,16,15,14,19,20,13,17,18,0,0,0,0,0,0,0,0,0
5,2,8,4,14,11,5,3,10,16,18,13,1,12,17,15,20,19,6,5,7,9,0,0,0,0,0,0,0,0,0
6,4,5,6,1,2,3,10,16,13,17,11,19,12,7,8,0,0,9,18,17,14,0,15,0,0,0,0,0,0,20
7,2,3,4,5,6,7,8,9,10,11,12,14,13,16,17,15,18,19,1,20,0,0,0,0,0,0,0,0,0,0
8,3,1,2,4,5,6,7,8,9,11,12,10,14,15,13,16,0,20,19,17,18,0,0,0,0,0,0,0,0,0
9,3,2,1,6,5,7,9,11,14,8,15,17,18,0,0,20,19,13,4,10,12,0,0,0,16,0,0,0,0,0
10,1,5,6,7,8,2,10,4,9,0,3,11,12,16,15,14,19,20,13,17,18,0,0,0,0,0,0,0,0,0
11,2,8,4,14,11,5,3,10,16,18,13,1,12,17,15,20,19,6,5,7,9,0,0,0,0,0,0,0,0,0
12,4,5,6,1,2,3,10,16,13,17,11,19,12,7,8,0,0,9,18,17,14,0,15,0,0,0,0,0,0,20
13,4,6,0,0,7,8,1,0,9,3,10,11,2,5,0,12,0,13,0,14,0,15,16,17,0,0,18,0,20,19
14,1,14,2,15,3,0,4,16,17,5,6,7,8,0,0,9,10,0,0,0,11,18,19,12,20,13,0,0,0,0
15,12,13,14,1,2,0,15,3,16,4,0,17,5,6,7,8,0,0,0,0,9,10,0,0,11,0,0,20,19,18
16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,0,0,0,0,0,0,0,0
17,4,5,6,0,0,7,8,1,0,0,3,2,0,0,9,10,11,12,,14,13,0,0,15,16,17,18,0,19,20
18,4,6,0,0,7,8,1,0,9,3,10,11,2,5,0,12,0,13,0,14,0,15,16,17,0,0,18,0,20,19
19,1,14,2,15,3,0,4,16,17,5,6,7,8,0,0,9,10,0,0,0,11,18,19,12,20,13,0,0,0,0
20,1,13,14,12,2,0,15,3,16,4,0,17,5,6,7,8,0,0,0,0,9,10,0,0,11,0,0,20,19,18
21,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,0,0,0,0,0,0,0,0
22,4,5,6,0,0,7,8,1,0,0,3,2,0,0,9,10,11,12,,14,13,0,0,15,16,17,18,0,19,20
23,5,1,2,3,4,11,12,13,0,0,14,6,7,8,0,0,9,10,0,0,0,15,16,0,17,18,19,20,0,0
24,6,4,5,0,0,1,18,19,2,3,16,17,20,0,7,8,9,0,10,11,14,15,0,0,0,12,13,0,0,0
25,4,5,6,0,0,7,8,1,0,0,3,0,2,0,9,10,11,12,,14,13,0,0,15,16,17,18,0,19,20
26,5,1,2,3,4,11,12,13,0,0,14,6,7,8,0,0,9,10,0,0,0,15,16,0,17,18,19,20,0,0
27,6,4,5,0,0,1,18,19,2,3,16,17,20,0,7,8,9,0,10,11,14,15,0,0,0,12,13,0,0,0
28,1,2,11,12,4,3,5,6,8,0,10,9,18,19,20,0,7,8,15,17,0,0,0,16,0,13,14,0,0,0
29,3,1,4,2,5,0,11,12,0,0,6,0,13,14,7,8,9,10,0,17,0,15,0,0,16,0,0,20,19,18
30,1,2,3,6,7,0,0,4,5,14,15,18,0,17,16,0,0,8,10,11,12,14,9,13,0,0,19,20,0,0
31,1,2,11,12,4,3,5,6,8,0,10,9,18,19,20,0,7,8,15,17,0,0,0,16,0,13,14,0,0,0
32,3,1,4,2,5,11,0,12,0,0,6,0,13,14,7,8,9,10,0,17,0,15,0,0,16,0,0,20,19,18
33,1,2,3,6,7,0,0,4,5,14,15,18,17,0,16,0,0,8,9,11,12,14,10,13,0,0,19,20,0,0
34,12,13,4,19,11,14,5,20,10,6,18,1,17,0,9,0,16,3,2,0,15,0,7,0,0,8,0,0,0,0
35,2,5,1,4,15,3,14,16,11,7,17,10,13,6,12,20,0,0,19,8,0,0,18,9,0,0,0,0,0,0
36,5,6,4,12,2,0,15,3,20,14,19,0,1,0,11,13,8,0,7,0,0,16,0,18,10,0,0,9,0,17
37,7,10,9,11,0,8,6,12,0,0,0,4,13,0,5,0,15,2,20,14,19,0,18,0,1,0,17,0,3,16
38,8,14,17,0,0,0,2,13,12,1,10,11,9,0,0,4,16,5,0,15,3,0,18,7,19,6,0,0,0,20
39,1,12,0,0,13,3,9,0,2,11,0,14,10,4,19,18,20,0,6,0,0,17,5,15,0,8,0,0,16,7
40,9,1,8,17,7,3,18,10,19,20,2,0,11,0,5,0,0,0,15,0,6,12,4,14,0,16,0,0,0,13
41,3,0,9,8,0,7,20,1,0,6,10,5,11,19,4,2,0,18,0,0,12,0,0,17,14,0,0,13,16,15
42,0,1,0,0,0,2,0,0,0,0,4,13,7,12,14,3,0,6,9,0,11,10,5,20,15,19,18,8,17,16
43,5,4,1,2,15,3,14,16,11,17,6,10,13,7,19,0,0,20,12,8,0,0,18,9,0,0,0,0,0,0
44,13,14,10,0,0,0,2,8,12,4,17,11,1,16,0,9,0,5,0,15,3,0,18,7,19,6,0,0,0,20
45,6,0,7,9,8,0,3,5,0,1,20,10,11,19,0,18,2,4,0,0,12,0,14,0,17,0,16,13,0,15
46,0,2,0,1,0,6,0,0,0,0,4,7,5,12,14,3,0,0,9,13,20,10,0,16,15,19,18,11,17,8
47,2,6,4,12,5,0,15,14,20,19,3,0,0,11,0,13,8,1,18,0,0,16,7,0,10,0,17,0,0,9
48,13,10,9,11,0,8,6,0,2,12,0,4,15,0,5,0,7,0,20,14,19,0,18,0,1,0,17,0,3,16
49,0,12,0,1,11,3,9,0,2,13,0,14,0,10,4,19,20,0,6,0,18,17,5,15,0,0,16,0,7,8
50,10,11,16,8,9,0,15,2,0,0,7,12,18,1,14,0,13,6,17,0,0,4,19,0,5,0,20,0,3,0
